,text,Degree of Injury
2562,employe fall from ladder and is kill,Fatal
2563,employe die from blood clot caus by forklift accid,Fatal
2564,employe is kill from carbon monoxid exposur,Fatal
2565,employe fall from ladder and is kill,Fatal
2566,employe fall from ladder and is kill,Fatal
2567,employe is struck by fall object and is kill,Fatal
2568,employe fall into canal and drown when scaffold collaps,Fatal
2569,employe is kill when struck by fli object,Fatal
2570,"one employe dies, one hospit in confin space",Fatal
2571,employe fall from ladder and is kill,Fatal
2572,employe fall from scaffold and is kill,Fatal
2573,employe struck and kill by subway train,Fatal
2574,"employe fall off cart, fractur ankl and later die from",Fatal
2575,employe is crush and kill by fall tree,Fatal
2576,employe is kill when atv roll over,Fatal
2577,bus oper has a heart attack while sit in his persona,Fatal
2578,employe die of a heart attack,Fatal
2579,two employe die and one burn in fire,Fatal
2580,employe is struck and kill by fli metal discharg fro,Fatal
2581,employe fall from deck and is kill,Fatal
2582,employe oper equip drive over embank and is k,Fatal
2583,employe fall and is fatal injur,Fatal
2584,employe is struck and kill by a dump trailer,Fatal
2585,employe is kill in fall from ladder,Fatal
2586,employe is crush when crane tip over,Fatal
2587,employe injur back while lift dish from dish cart.,Nonfatal
2588,employe is struck and kill by flat bed trailer,Nonfatal
2589,employe is crush between truck and low-boy trailer,Fatal
2590,employee? finger is amput when caught in conveyor syst,Nonfatal
2591,employe is crush and kill when caught in ice machin,Fatal
2592,employe is kill in fall from aerial lift,Fatal
2593,employe fall from tree and is injur,Nonfatal
2594,employe is crush and kill by tractor trailer,Fatal
2595,employe kill in shoot,Fatal
2596,employe is kill in gasolin pipelin explos,Fatal
2597,employe has chemic and thermal burn to bodi,Nonfatal
2598,employe is kill in fall from roof,Fatal
2599,employe sever burn in an explos,Nonfatal
2600,employe run over by vehicl is kill,Fatal
2601,employe is struck and kill by motor vehicl,Fatal
2602,employe work as a cross guard is struck and kill by,Fatal
2603,two employe drown,Fatal
2604,employe injur in fall from power industri vehicl,Fatal
2605,employe crush by equipment.,Fatal
2606,employe crush and kill by machineri,Fatal
2607,employe is caught between two truck and is kill,Fatal
2608,employe fall into a hole and die,Fatal
2609,employe fall over guardrail and drown in the water,Fatal
2610,employe struck and kill by fallen log,Fatal
2611,employe fall from ladder and is kill,Fatal
2612,employe is kill in fall from roof,Fatal
2613,employe struck and kill by industri vehicl,Fatal
2614,three worker are injur in scaffold tip over,Nonfatal
2615,employe fall from structur steel beam and is injur,Nonfatal
2616,employe fall from structur steel and fractur femur,Nonfatal
2617,employe struck by a motor vehicl struck and is kill,Fatal
2618,truck driver kill from fall,Fatal
2619,employe struck and kill by motor vehicl,Fatal
2620,employe struck and kill by tree limb,Fatal
2621,employe die while harvest orang grove,Fatal
2622,employe struck by fall tree trunk while buck a fell,Fatal
2623,employe is run over by a rock spreader and is kill,Fatal
2624,truck driver struck and kill by metal pipe,Fatal
2625,employe fall from roof and is kill,Fatal
2626,employe crush and kill by motor vehicl,Fatal
2627,employe is electrocut when make contact with overhead p,Fatal
2628,employe struck-bi a natur gas pipe and is kill,Fatal
2629,employe work at a hospit feel sick and die the next,Fatal
2630,employe kill in trench cave-in,Fatal
2631,employe struck and kill by front-end loader,Fatal
2632,employe struck and kill by fall beam,Fatal
2633,employe is kill in fall from scaffold,Fatal
2634,employe fall from ladder and is kill,Fatal
2635,employe struck and kill by pipe,Fatal
2636,employe is kill in a fall from a wooden bin,Fatal
2637,employe struck by motor vehicl and is kill,Fatal
2638,"employe fall and injur head, later die",Fatal
2639,employe stuck and kill by vehicl,Fatal
2640,employe kill by engulf,Fatal
2641,employe crush and kill by an angl iron and aerial lift,Fatal
2642,employe fall down a wastewat well and is killed.,Fatal
2643,employe struck and kill by forklift,Fatal
2644,two employe kill in a trench.,Fatal
2645,employe drive an atv is struck and kill by truck,Fatal
2646,employe kill by heart attack.,Fatal
2647,employe fall from a man lift and die,Fatal
2648,employe drown while clean underneath a boat,Fatal
2649,employe contact a live bus bar and was electrocuted.,Fatal
2650,fireman is injur in explos and is hospit,Nonfatal
2651,employe pent between pipe catch arm and pipe stacker frame.,Fatal
2652,employe cut strap stab himself in chest with pocket k,Fatal
2653,employe is kill when forklift overturn,Fatal
2654,employe kill when crush by overturn forklift,Fatal
2655,two employe kill from exposur to hydrogen sulfide.,Fatal
2656,employe crush by steel box.,Fatal
2657,employe suffer third degre burn work on electr sw,Nonfatal
2658,employe collaps while play basketbal and die,Fatal
2659,employe crush and kill by a tractor harvest machin,Fatal
2660,employe die in fall from ladder.,Fatal
2661,employe kill when struck by vehicl,Fatal
2662,employe kill in crush incident.,Fatal
2663,employe die from cardiac arrest,Fatal
2664,employe struck and kill by a roof roller,Fatal
2665,employe is struck and kill,Fatal
2666,employe is kill when trampl by a cow,Fatal
2667,employe kill while restrain youth.,Fatal
2668,employe crush and kill by outrigg on concret pumper ,Fatal
2669,employe found dead in a front end loader,Fatal
2670,employe leg is crush by electr pallet jack dure wor,Nonfatal
2671,engin is electrocut while troubleshoot equip,Fatal
2672,employe is kill in explos,Fatal
2673,employe  kill when caught between a dumpster and compacto,Fatal
2674,employe fall from trailer and is kill,Fatal
2675,six employe are infect with legionella and one employe ,Fatal
2676,employe is found dead on floor of scissor lift,Fatal
2677,employe fall from scaffold and is kill,Fatal
2678,employe is kill in fall from roof,Fatal
2679,employe is found deceas in truck,Fatal
2680,employe fall from roof while spread metal deck sheet,Fatal
2681,one employe is kill and one injur when struck by an eye,Fatal
2682,employe is kill from fall on a front end loader ladder,Fatal
2683,employe is kill in fall from a roof top through a skyligh,Fatal
2684,employe is kill when struck by a substructure.,Fatal
2685,employe fractur ankl when pin in roll-ov,Nonfatal
2686,employe is struck and kill by a garbag truck,Fatal
2687,"employe caught under a dump box, is asphyxi and kill",Fatal
2688,employe fall from scaffold and is kill,Fatal
2689,"employe falls, injur ankl and later die from blood clot",Fatal
2690,employe struck and pin against wall while unload trai,Fatal
2691,"employe is electrocuted, two other receiv electr shock ",Fatal
2692,employe is kill when mini excav overturn,Fatal
2693,employe is kill in fall from truck,Fatal
2694,employe fall through open in roof and is kill,Fatal
2695,employe is kill when struck by tree limb,Fatal
2696,employe die of unknown caus in a hotel room.,Fatal
2697,employe is kill when wall collaps and strike him,Fatal
2698,employe struck by a truck and then crush by a paver,Fatal
2699,employe is kill in fall from extens ladder.,Fatal
2700,employe is kill in fall when porch break off hous,Fatal
2701,employe kill when struck by a machin hook.,Fatal
2702,employe is burn and kill when ethanol ignit while loa,Fatal
2703,employe is struck in head and kill by car wash equipm,Nonfatal
2704,employe is crush and kill when a tree roll over on to,Fatal
2705,employe is struck and kill by back of semi-trail tru,Fatal
2706,employe is kill when struck by tractor trailer.,Fatal
2707,employe die of unknown caus at work.,Fatal
2708,employe is kill when trench collapses.,Fatal
2709,employe suffer heart attack and die,Fatal
2710,employe is run over by truck and is kill,Fatal
2711,employe drown while instal wood stake,Fatal
2712,employe is kill when the basket of bucket truck fall and,Fatal
2713,employe is kill when struck by well casing.,Fatal
2714,employe is kill in fall from roof.,Fatal
2715,employe is found dead and buri by fill dirt at residentia,Fatal
2716,employe collaps at work at die,Fatal
2717,employe struck and kill by a payload,Fatal
2718,employe is kill when door under pressur blow,Fatal
2719,employe is crush and kill by gin pole truck.,Fatal
2720,employe fall from top of walk-in cooler and is kill,Fatal
2721,employe injur head and neck in fall from tanker trailer,Fatal
2722,employe collaps at job site from heart attack,Fatal
2723,employe trip and fall to floor and die from multipl inj,Fatal
2724,employe inhal chlorin gas and is hospit,Nonfatal
2725,employe injur in flash fire,Nonfatal
2726,employe is struck by ton of glass dure remov from tran,Fatal
2727,employe die in trench collaps,Fatal
2728,employe is kill when struck by back hoe/front end loader ,Nonfatal
2729,employe die in fall from ladder,Fatal
2730,employe spill caustic liquid and burn leg,Nonfatal
2731,employe suffer heart attack and die while at work desk,Fatal
2732,employe fall and is kill,Fatal
2733,two employe work in boiler are burn,Nonfatal
2734,employe is crush and kill by vehicl that fall from li,Fatal
2735,employe kill when struck by a fall object,Fatal
2736,employe is found unrespons in restroom,Fatal
2737,employe struck and kill by fall pipe while unload p,Fatal
2738,employe fall through window and dies.,Fatal
2739,employe is kill in fall from scaffold,Fatal
2740,employe is kill in fall from scaffold,Fatal
2741,employe is kill when catapult from bucket when struck b,Fatal
2742,employe is electrocut by contact with live bus bar.,Fatal
2743,employe load trailer is struck and kill by a vehicl,Fatal
2744,employe is kill when forklift overturn,Fatal
2745,flagger struck and kill dure highway construct,Nonfatal
2746,"employe is crush by dumpster, later dies.",Fatal
2747,employe is struck and kill by drunk driver on work site,Fatal
2748,employe is kill in tractor rollov accid on golf cour,Fatal
2749,employe is kill when hous deck collaps,Fatal
2750,employe is kill when stab in head by wooden board thro,Fatal
2751,employe is found unrespons in lock break room,Fatal
2752,employe fall from scaffold and is kill,Nonfatal
2753,employe is kill in fall from second floor when balconi g,Fatal
2754,employe is found unrespons while load oil tanker truc,Fatal
2755,employe is struck and kill by vehicl,Fatal
2756,employe is electrocut and kill,Fatal
2757,employe strike  head on end loader and is kill,Fatal
2758,employe is  kill from wasp sting,Fatal
2759,employe is struck and kill by tractor,Fatal
2760,employe is crush and kill when wall collaps,Fatal
2761,"one employe is killed, anoth injured, in trench collaps",Fatal
2762,employe fall from trailer and is kill,Fatal
2763,employe is kill when head is crush in compactor,Fatal
2764,employe is struck and kill by fall bushel bin,Fatal
2765,employe crush by fall conveyor and is kill,Fatal
2766,employe amput finger dure close of truck lift gate,Nonfatal
2767,employe caught between stationari door frame and move whe,Fatal
2768,employe is struck by crane boom and kill,Fatal
2769,employee? leg is crush when run over by tractor,Nonfatal
2770,employe is struck and kill by concret form,Fatal
2771,employe is kill when caught between the rear end differen,Fatal
2772,employe is crush and kill by tractor.,Fatal
2773,employe die from brain aneurysm.,Fatal
2774,employe is kill in gas explos,Fatal
2775,two employe struck by train one kill,Fatal
2776,apprentic electrician fall from ladder and fractur both ,Nonfatal
2777,employe kill when struck by fall timber,Fatal
2778,employe is kill in grain elev explos,Fatal
2779,employe fall from window open and is kill,Fatal
2780,employe is electrocut and kill by fluoresc light fix,Fatal
2781,employe is kill when run over by a loader,Fatal
2782,employe fall from roof,Fatal
2783,employe is struck by toolbox and kill,Fatal
2784,employe is crush and kill when tractor tip over,Fatal
2785,employe die from heart attack,Fatal
2786,employe is struck and kill by racecar on the racetrack,Fatal
2787,employe becom unrespons and die from heat stress,Fatal
2788,employe is struck by backho and kill,Fatal
2789,employe kill dure arm robberi,Fatal
2790,employe is struck and kill by crane,Fatal
2791,employe die from heart attack,Fatal
2792,employe struck and kill by fall object,Fatal
2793,employe fall off a ladder and is kill,Fatal
2794,employe fall 27 feet to ground and is kill,Fatal
2795,employe is shot and kill while work as a conveni st,Fatal
2796,employe fall in attic and die from broken neck,Fatal
2797,employe get caught between door and door frame of truck an,Nonfatal
2798,employe is kill when loader roll over,Fatal
2799,employe drown while scuba dive,Fatal
2800,employe fall off scaffold and is kill,Fatal
2801,employe is caught between bucket lift and canopi and is kil,Fatal
2802,employe fall from scaffold and is kill,Fatal
2803,employe fall from a pump jack scaffold and is kill,Fatal
2804,employe fall from ladder and sustain fatal head injuri,Fatal
2805,employe struck and kill by a train,Fatal
2806,employe is kill in a trench collaps,Fatal
2807,employe fall and is kill,Fatal
2808,employe kill while place concret manhol section,Fatal
2809,employe struck by a semi-truck is kill,Fatal
2810,employe die from heart attack,Fatal
2811,"employe fall and fractur hip when deck collapses, later ",Fatal
2812,employe fall from a scaffold and is kill,Nonfatal
2813,employee? fingertip is amput in press,Nonfatal
2814,employe struck by vehicl is kill,Fatal
2815,employe is burn when can of cook spray explod,Nonfatal
2816,employe is trap under bundl and kill due to suffocat,Fatal
2817,employe fall and is kill,Fatal
2818,employe is kill in fall from manlift.,Fatal
2819,employe electrocut at carwash,Fatal
2820,employe fall roof and is kill,Fatal
2821,employe drown while swim,Fatal
2822,employe is kill when an aerial lift tip over,Fatal
2823,"employe stung by an insect, hospit and died.",Fatal
2824,employe fall off trailer and is kill,Fatal
2825,employe kill when air compressor explod,Fatal
2826,employe struck by a metal beam is kill,Fatal
2827,employe is kill in fall from crane,Fatal
2828,employe fall from ladder and is kill,Fatal
2829,construct employe contact a power line and is electrocu,Fatal
2830,employe crash into util pole and is electrocut,Fatal
2831,employe is crush between pit and warehous rack and is ki,Fatal
2832,employe struck by a chain die,Fatal
2833,employe fall from truck and is kill,Fatal
2834,employe finger is crush and sustain partial amput,Nonfatal
2835,employe fall backward off roof and is kill,Fatal
2836,employe is injur in fall from ladder,Nonfatal
2837,employe struck and kill by a motor vehicl,Fatal
2838,employe kill by fall,Fatal
2839,employe is shot and kill while on break,Fatal
2840,employe is caught between railroad car and is kill,Fatal
2841,employe is kill in fuel oil tank explos,Fatal
2842,employe is struck by a thread drain pipe and is kill,Fatal
2843,employe fall from truss and is kill,Fatal
2844,"one employe kill , one injured, in a scaffold collaps",Fatal
2845,employe is burn by bacon grease.,Nonfatal
2846,employe struck and kill by a passeng vehicl,Fatal
2847,employe fall from top of truck cab and is kill,Fatal
2848,employe is struck and kill by a rough terrain forklift,Fatal
2849,employe is kill when roof collaps,Fatal
2850,employe is electrocut while perform repair in a dryer,Fatal
2851,employe struck and kill by fall build debri,Fatal
2852,employe is kill in fall after be eject from a bulldo,Fatal
2853,employe die of heart attack at work,Fatal
2854,employe fall off roof while not wear fall protect  a,Fatal
2855,employe fall from ladder and die,Fatal
2856,employe fall from scaffold into water and drown,Fatal
2857,employe head is crush between two trailer an is kill,Fatal
2858,employe die of heart attack while torch down roof,Fatal
2859,employe fall through the roof of a cow barn and is kill,Fatal
2860,employe contact electr line and is kill,Fatal
2861,employe struck and kill by truck,Fatal
2862,employe die from respiratori distress syndrom,Fatal
2863,employe is kill in fall from ladder,Fatal
2864,employe collaps and die from heat exposur,Fatal
2865,employe kill when trench collaps,Fatal
2866,employe is injur when gas cylind fall of land,Nonfatal
2867,employe fall from scissor lift and is kill,Fatal
2868,employe is struck and kill by fall grain handl equi,Fatal
2869,employe is struck and kill by fall equip,Fatal
2870,employe trim branch fall and is kill,Fatal
2871,employe die from heart attack,Fatal
2872,employee? leg is fractur by fall steel plate,Nonfatal
2873,one employe is kill and anoth injur when wall collap,Fatal
2874,employe die of appar electrocut while perform mai,Fatal
2875,employe is kill in a tractor accid,Fatal
2876,employe is injur in fall from bench and later die,Fatal
2877,employe is kill when caught between two trailers.,Fatal
2878,"employe found dead, non-work relat",Fatal
2879,employe is kill by fall vehicl,Fatal
2880,employe right thumb is amput while oper a fixtur ,Nonfatal
2881,employe fall from scaffold and is kill,Fatal
2882,employe crash automobil into water and drown,Fatal
2883,employe trip and fall on concret floor and is kill,Fatal
2884,employe is kill when caught between trailer and tractor.,Fatal
2885,employe is kill in fall through roof.,Fatal
2886,employe fall through skylight and is killed.,Fatal
2887,employe is kill in fall from fuel oil storag tank.,Fatal
2888,employe drown when jeep run off the road and submerg in ,Fatal
2889,employe fall of the boat into cold water and kill,Fatal
2890,employe shock and kill by generat,Fatal
2891,employe is kill when run over by a trailer,Fatal
2892,employe is crush and kill between conveyor and i-beam.,Fatal
2893,employe die while work on manhol,Fatal
2894,employe is kill when scissor lift tabl lower and pin h,Fatal
2895,employe is kill when lose control of a tractor trailer.,Fatal
2896,employe die of appar heart attack while walk along r,Fatal
2897,employe is crush between the counter-weight assembl and ,Fatal
2898,employe die of bee stings.,Fatal
2899,employe clean pool shock and drown,Fatal
2900,employe is strangl by lanyard caught between two conveyor,Fatal
2901,"employe left index finger (partially) amputated, after ri",Nonfatal
2902,employe is crush and kill between move part of machin,Fatal
2903,employe is crush and kill when a-fram storag rack col,Fatal
2904,employe crush and kill by cement truck,Fatal
2905,employe is kill in fall from elev forklift.,Fatal
2906,employe is crush in between dump bed of dump truck and is,Fatal
2907,employe is kill when struck by speed vehicle.,Fatal
2908,employe is crush and kill under trailer,Fatal
2909,employe fall from ladder and is kill,Fatal
2910,employe is struck by spin sucker rod and is killed.,Fatal
2911,employe is kill when caught under tread of bulldoz,Fatal
2912,employe die of heart attack on hot day.,Fatal
2913,employe die of asphyxi from chlorin gas exposur,Fatal
2914,employe fall from height and is kill,Fatal
2915,employe kill in a trench collaps,Fatal
2916,employe kill by forklift,Fatal
2917,employe fall from ladder and is kill,Fatal
2918,employe contact power line with crane and is kill by ele,Fatal
2919,employe stack steel wine barrel rack was crush and ki,Fatal
2920,employe was crush and kill when a trailer disconnect ,Fatal
2921,employe was crush by trailer when disconnect from a tr,Fatal
2922,employe fall down shaft and is kill,Fatal
2923,two employe fall from derrick and is kill,Fatal
2924,employe drown in a lake,Fatal
2925,employe fall from oil rig into water and drown,Fatal
2926,employe trip and fall while cross k-rail and sustain ,Nonfatal
2927,employe was electrocut while on a servic call.,Fatal
2928,employe is caught in machineri and kill,Fatal
2929,employe struck by lowboy trailer is kill,Fatal
2930,employe suffer heat exhaust in foundri,Nonfatal
2931,employe experi heat exhaust from foundri work,Nonfatal
2932,employe caught between vehicl is kill,Fatal
2933,employe die from heart attack,Fatal
2934,employe crush by pipe and is kill,Fatal
2935,employe collaps and die,Fatal
2936,employe kill when struck by fall object,Fatal
2937,cashier is shot and kill,Fatal
2938,employe die from cardiac arrest,Fatal
2939,employe is kill in an explos,Fatal
2940,employe fall out of boat and drown,Fatal
2941,employe kill when struck by fall object,Fatal
2942,employe is kill in fall from roof,Fatal
2943,employe fall in excav strike his head and die,Fatal
2944,employe is injur when equip fall from a trailer,Fatal
2945,employe is struck kill by semi-truck trailer,Fatal
2946,employe is shock by live wire later die,Fatal
2947,employe is cut by meat saw and partial amput thumb,Nonfatal
2948,employe fall from elev and is fatal injur,Fatal
2949,"employe fail hose, collaps and break lower leg and a",Nonfatal
2950,employe die from a heart stroke,Fatal
2951,employe is struck and kill struck by rig,Fatal
2952,employe die from preexist medic condit,Nonfatal
2953,supervisor fall from a roll scaffold and sustain fatal ,Fatal
2954,employe was kill when struck by a fall object,Fatal
2955,employe contact power pole and is electrocut,Fatal
2956,employe kill when struck by a truck,Fatal
2957,employe is kill jump from a roof,Fatal
2958,employe fell 2 stori to ground when rail on balconi ga,Nonfatal
2959,employe found dead use a cherri picker,Fatal
2960,employe drown when truck back into the river,Fatal
2961,employe fall down stair and is fatal injur,Fatal
2962,employe die from asthma after exposur to chemic at wor,Fatal
2963,employe die from heart attack,Fatal
2964,employe is kill when struck by jockey truck,Nonfatal
2965,employe die when lawnmow overturn and fall into creek,Fatal
2966,employe oper lawn mower is struck and kill by a vehi,Fatal
2967,employe jump from truck bumper and fractur ankl,Nonfatal
2968,employe is kill when crush by fall concret form,Fatal
2969,employe drown in water fill hole,Fatal
2970,employe fall from wall when wall support broke and is kill,Fatal
2971,"employe miss step, fall and injuri head",Nonfatal
2972,lineman work from a truck bucket is electrocut,Fatal
2973,employe fall and is kill when scaffold collaps,Fatal
2974,employe struck by heavi equip die,Fatal
2975,employe arm is crush in tractor rollov incid,Nonfatal
2976,employe fall from an elev work platform and is kill,Fatal
2977,an employe die after be struck by a pass car,Fatal
2978,employe sustain crush injuri when caught in bend m,Nonfatal
2979,electrician die after electr shock,Fatal
2980,employe die after be struck by lightn,Fatal
2981,an employe was struck-bi a skid steer and kill,Fatal
2982,employe #1 is burn when forklift explod dure refuelin,Nonfatal
2983,roofer kill when ladder contact an overhead power line,Fatal
2984,employe die after fall from roof,Fatal
2985,employe is kill when caught by roller in machin,Fatal
2986,employe die from heart attack,Fatal
2987,construct worker fall from ladder and fractur leg and ,Nonfatal
2988,roofer die from heat,Fatal
2989,employe die after electrocut,Fatal
2990,electrician die after electrocut,Fatal
2991,employe die after strangul by lifelin,Fatal
2992,employe die after fall from scaffold,Fatal
2993,one employe kill and one injur when scaffold tip over,Fatal
2994,employe die when an all-terrain vehicl (atv) overturn,Fatal
2995,employe work from a platform suffer heart attack and di,Fatal
2996,employe fall from roof and is kill,Fatal
2997,employe fall and is kill,Fatal
2998,employe experi continu flu-lik symptom and die,Fatal
2999,"employe is struck by forklift, it load, and is hospit",Nonfatal
3000,employe die from heat relat ill,Fatal
3001,employe die sudden while clean bar area,Fatal
3002,employe is kill when struck by a pickup truck,Fatal
3003,employe fall from a roll scaffold and sustain injuri,Nonfatal
3004,employe is electrocut when crane boom strike overhead po,Fatal
3005,employe is kill in fall from top of water tower,Fatal
3006,employe is crush by dump truck on construct site,Fatal
3007,employe is kill when semi-truck crash into warehous,Fatal
3008,employe is kill from rope injuri while fell tree,Fatal
3009,employe is electrocut while instal new air conditioni,Fatal
3010,employe is electrocut while clear bridg roadway,Fatal
3011,employe is kill when crush by fall contain,Fatal
3012,employe amput bottom of foot and is kill by embol,Fatal
3013,employe amput finger while use band saw,Nonfatal
3014,employe make contact with a band saw blade and amput f,Nonfatal
3015,employe is kill from fall from a roll ladder stand,Fatal
3016,employe is kill when fall tree crush him,Fatal
3017,employe is struck by and crush by fall tree,Fatal
3018,employe is killed; second employe injur in motorcycl ac,Fatal
3019,employe is crush by dump truck,Fatal
3020,employe fall from ladder and is kill,Fatal
3021,employe is crush insid of sheer machin,Fatal
3022,employe die from intern injuri after be struck by f,Fatal
3023,employee? hand is fractur in bale machin,Nonfatal
3024,employe is electrocut when boom lift came into contact wi,Fatal
3025,employe lose conscious and drown in manur pit,Fatal
3026,employe die from injuri dure fall from roof,Fatal
3027,employe die from heat exhaust at work site,Fatal
3028,employe is kill in park lot shoot,Fatal
3029,"employe fall from extens ladder, ruptur spleen, and l",Fatal
3030,employe is electrocut while remov ballast from a live ,Fatal
3031,employe fall from roof and is kill,Fatal
3032,employe is crush while move scrap materi,Fatal
3033,employe die from an appar heart attack,Fatal
3034,employe  is struck and kill when cut a tree,Fatal
3035,employe is kill in oxygen defici locat,Fatal
3036,employe is kill when caught in an unguard rotat slit,Fatal
3037,employe fall from park garag deck and is kill,Fatal
3038,employe is kill in fall from height,Fatal
3039,employe is kill in an excav collaps,Fatal
3040,employe is electrocut,Fatal
3041,employe is crush and kill by forklift,Fatal
3042,employe is kill in fall when struck by metal form,Fatal
3043,employe die of heart attack,Fatal
3044,employe is kill in explos while weld,Fatal
3045,employe fall down elev shaft and is kill,Fatal
3046,employe is struck and kill by trailer,Fatal
3047,employe fall from roof and is kill,Fatal
3048,employe die from heat stress,Fatal
3049,employe is crush by truck and kill,Fatal
3050,employe is pin between truck and kill,Fatal
3051,worker is kill in fall,Fatal
3052,employe die from heart attack,Fatal
3053,employe is kill use cut saw,Fatal
3054,employe fall from ladder and is kill,Fatal
3055,employe is crush and kill by forklift,Fatal
3056,employe is kill by lighten,Fatal
3057,worker is struck by airbag and die,Fatal
3058,worker is crush and kill,Fatal
3059,worker break leg,Nonfatal
3060,employe is kill when crush by fallen crate,Fatal
3061,worker is kill by fallen tree limb,Fatal
3062,worker die from heart attack,Fatal
3063,worker is struck tree and die,Fatal
3064,worker is kill in fall from roof,Fatal
3065,worker is run over by industri vehicl and die,Fatal
3066,worker die from gunshot wound,Fatal
3067,employe is crush and kill by fallen freight,Fatal
3068,worker crush and kill by util pole,Fatal
3069,employe is kill in fall from roof,Fatal
3070,employe  kill by heat stress,Fatal
3071,employe becom ill and die,Fatal
3072,employe contact an overhead distribut line and is elect,Fatal
3073,worker is kill in fall from ladder,Fatal
3074,employe is kill after be struck by forklift,Fatal
3075,employe kill in a trench collaps,Fatal
3076,employe die from heat trauma,Fatal
3077,employe die from overexposur to toxic atmospher,Fatal
3078,employe is kill in fall from ladder,Fatal
3079,employe is kill in fall,Fatal
3080,employe is crush and kill from a skid steer loader,Fatal
3081,employe is crush and kill from a skid steer loader,Fatal
3082,employe is crush and kill from a skid steer loader,Fatal
3083,employe is kill in a fall,Fatal
3084,employe die from legionari diseas,Fatal
3085,employe is crush and kill when lawn mower roll over,Fatal
3086,employe die from cardiac arrest while work in vineyard,Fatal
3087,"one employe is crush and killed, anoth injured, when wa",Fatal
3088,employe is kill by chain saw when trim a tree branch,Fatal
3089,employe is struck and kill by steel coil,Fatal
3090,employe is electrocut and kill,Fatal
3091,employe fall through skylight and is kill,Fatal
3092,employe is crush between a trailer and wall and is kill,Fatal
3093,employe collaps and is kill from head trauma,Fatal
3094,employe is electrocut and kill when servic air condi,Fatal
3095,employe fingertip is amput,Nonfatal
3096,employe is crush and kill by skid steer bucket,Fatal
3097,employe crush and kill between a truck and load dock,Nonfatal
3098,employe is crush and kill by equip,Fatal
3099,employe is struck and kill by vehicl,Fatal
3100,employe is electrocut and kill while work on sump pu,Fatal
3101,employe is crush and kill by fall hvac unit,Fatal
3102,employe die from heat stroke,Fatal
3103,employe fall from ladder and is kill,Fatal
3104,employe die from heart attack,Fatal
3105,employe is crush and kill in rotari devic,Fatal
3106,employe die of a heart attack,Fatal
3107,employe fall through skylight and is kill,Fatal
3108,employe is electrocut and kill while pull wire,Fatal
3109,employe is electrocut while trim a tree,Fatal
3110,employe die of a heart attack,Fatal
3111,employe drown in a molass tank,Fatal
3112,employe is kill when bull dozer roll over,Fatal
3113,employe is caught between two truck and is killed.,Fatal
3114,employe is kill by heat stress in a nectarin ochard,Fatal
3115,employe harvest grape die from heart attack,Fatal
3116,employe fall from roof and is kill,Fatal
3117,employe is kill in a natur gas explos,Fatal
3118,"one employe is killed, one injured, in trench collaps",Fatal
3119,employe is run over and kill by vehicl,Fatal
3120,employe is crush and kill by fall lumber,Fatal
3121,employe fall while climb fenc and is kill,Fatal
3122,employe struck and kill by train,Fatal
3123,employe die of heart attack,Fatal
3124,employe is struck by shrink wrap machin and is kill,Fatal
3125,employe is kill when struck by lightn,Fatal
3126,employe fall from parapet and is kill,Fatal
3127,employe fall from ladder and is kill,Fatal
3128,employe die from a heart attack,Fatal
3129,employe fall from forklift fork and is kill,Fatal
3130,employe is electrocut and kill while servic hvac uni,Fatal
3131,employe is electrocut by contact with transform and is ,Fatal
3132,employe is struck and kill by log,Fatal
3133,employe fall from cliff and is kill,Fatal
3134,employe is struck and kill by a move rail car,Fatal
3135,employe fall through roof and is kill,Fatal
3136,employe is crush and kill by hoist equip,Fatal
3137,employe die from a heart attack,Fatal
3138,employe work in field die from heat stroke,Fatal
3139,employe is kill when build collaps,Fatal
3140,employe fall from roof and is kill,Fatal
3141,employe is electrocut and kill while weld,Fatal
3142,employe die when forklift tip over,Fatal
3143,employe is struck by log and is kill,Fatal
3144,employe die from heat stroke,Fatal
3145,employe fall from ladder and is kill,Fatal
3146,employe fall from dock and drown in lake,Fatal
3147,employe is struck and kill by vehicl,Fatal
3148,employe is kill when struck by fall object,Fatal
3149,employe is shot and kill dure a robberi,Fatal
3150,employe fall from a roof and is kill,Fatal
3151,employe drive car off an embank and is kill,Fatal
3152,employe fall and is kill,Fatal
3153,employe is kill in fall,Fatal
3154,employe fall and is kill,Fatal
3155,employe drown and is kill,Fatal
3156,employe is found dead,Fatal
3157,employe is kill and pin under truck,Fatal
3158,employe is stung by bee and later die,Fatal
3159,employe is kill when caught between fork lift and rotatio,Fatal
3160,employe die of heat stroke,Fatal
3161,employe is fall through floor hole and is kill,Fatal
3162,employe repair a light fixtur is kill,Fatal
3163,employe is kill when struck by truck,Fatal
3164,employe die from cardiac arrest,Fatal
3165,employe fall from scaffold and is kill,Fatal
3166,employe is run over and kill by garbag truck,Fatal
3167,employe is kill when run over by truck,Fatal
3168,employe is kill fall from roof,Fatal
3169,employe is struck and kill by a motor vehicl,Fatal
3170,employe is struck and kill by nozzl while abras blast,Fatal
3171,employe fall  from second floor and fractur rib,Nonfatal
3172,employe is electrocut when cabl contact breaker,Fatal
3173,employe fall from roof and is kill,Fatal
3174,employe is kill when trampl by anim,Fatal
3175,employe is kill use a cut off saw,Fatal
3176,employe is kill when struck by fall object,Fatal
3177,employe is struck by object and is kill,Fatal
3178,employe die due to heart attack,Fatal
